AQ,DQ,RealMean,Real25,Real50,Real75,Real95,Real99.5
4,2,93670.8701132939,36653.4804712187,58040.7486845842,97995.7541001286,302874.026988748,876947.315070707
4,3,270929.678977844,143627.330539028,205469.842090806,307665.609381583,698935.951933775,1506749.31265907
4,4,472193.729948817,266181.141802788,371579.069142578,574025.972750411,1111808.48066223,2150067.4423781
4,5,626714.19505056,368122.188008712,511472.671328388,760832.010315391,1414328.99460995,3008847.54952494
4,6,712395.959971954,435525.056561153,595294.090272844,882152.138429392,1532606.20558326,2962545.99841141
4,7,779143.878499408,470746.986995853,661757.173230751,987191.939428975,1690848.97688966,2924219.30485572
4,8,828878.668078146,497389.51893145,724674.19151551,1014235.34220645,1741644.48916512,3307410.12004078
4,9,829450.507784812,517069.015191343,738186.654813534,1021769.60477814,1667185.21044362,2868158.76379941
4,10,840230.061514364,515586.53424393,758825.183607698,1042846.89457181,1779782.6202494,2832111.09494885
4,11,859394.729801729,516525.695527424,745417.213223882,1093943.63352263,1827936.32938472,2957039.36562359
4,12,860820.893684053,497067.528824089,771072.78724619,1103542.26514649,1782918.50742861,3196347.02205261
4,13,843598.812448305,463124.36405435,727461.217718366,1083454.16967965,1906013.69770033,3257291.90293687
4,14,821600.621405617,468674.054891282,713433.116064495,1026560.6797934,1777680.50898343,3904262.29491524
4,15,795534.957981916,415363.241954545,663498.612145299,1045733.81757007,1872988.85692712,3746386.29647965
4,16,740525.219763284,393139.747831021,621961.553093707,967249.468682562,1698266.42651796,2815508.97515416
4,17,719838.519709884,337927.273207326,579419.915492305,955797.617871149,1789886.78371522,3456747.2759881
4,18,649199.060561605,285827.79255703,524636.252380504,829241.515283746,1667717.8255894,2844534.77645562
4,19,652876.292246069,282681.932543838,506891.538690601,863394.39805639,1713976.97447046,3689212.04028995
4,20,568389.434829626,240353.380528799,458389.445625009,787092.00139942,1466349.5617563,2654791.41346875
4,21,559465.631842301,230292.590390632,439337.949556712,753276.981769266,1460040.36737468,2853848.01988259
4,22,552215.473343277,199890.635532104,391884.217785525,726456.983534754,1695524.03155294,3567106.68737916
4,23,479187.8621527,164356.961362552,354460.051245397,646524.592638578,1406826.8121348,2996304.03615667
4,24,408670.75320315,101797.162791243,276665.00267306,586256.468025016,1212690.23767804,2677163.15033647
4,25,419688.079941028,64663.7052789208,269207.07416808,584747.891400518,1389372.59028668,2470642.00240297
4,26,381853.95595771,56564.7375466292,256813.376127492,563434.271647603,1214808.19451147,2479408.73412838
4,27,346485.441800764,36750.5490981504,227922.789712129,487967.671191391,1259490.44613565,2527419.19550986
4,28,327107.253698692,32902.6149024996,217747.544594264,464062.296728796,1172026.8362041,2403327.12278583
4,29,277715.577290334,20380.0036417407,146647.867530064,361150.016133115,1082387.20502217,2202779.47402177
4,30,267622.08057218,17098.8780706342,80009.2657027256,376491.0237804,1073237.74833609,2304917.04903235
4,31,219727.324660833,6170.58099305923,51708.9753672999,300520.477396566,933498.029221616,2488040.26202548
4,32,185215.729407349,0,42305.0594613003,274722.801820224,743286.552978986,1582218.85669757
4,33,201684.811322037,0,31733.1789562992,269434.46132489,992747.830401415,2182316.75641482
4,34,179729.606204665,0,21956.9833029204,232607.212075301,826204.657062108,2855274.11041631
4,35,153177.795077573,0,22790.6439450597,192407.740089228,747411.803919907,2086291.17875379
4,36,130019.238096601,0,5123.22666502971,76452.9415612892,674446.05699069,2025576.28644248
4,37,120966.714214206,0,0,68054.4555461339,664817.512685839,1638243.41471709
4,38,111312.724485977,0,0,44761.8230691731,654348.883613277,2484605.44345935
4,39,105745.778503306,0,0,41425.3294747086,706241.20687703,1796165.94519171
4,40,100992.952621973,0,0,37502.7740024404,567582.340934505,2342373.0667106
5,1,6229.902482612,0,0,6858.30401024112,25863.9235319333,127013.254913629
5,2,109702.469672222,37811.2615894568,61652.601303656,106318.645746806,323917.785047512,1764011.98825088
5,3,302045.311998113,148504.457161769,209168.294179914,341253.228408983,860842.85919395,1857853.9111779
5,4,469568.230345297,272165.195772015,376551.49507736,547797.874954863,1074593.51983441,2175438.91038787
5,5,621679.023301617,379400.266785144,531191.419527792,749777.293863627,1343061.16605436,2222586.83599041
5,6,750618.792032826,465324.914066539,645004.090265464,897762.244659197,1510971.62718808,3583597.41786484
5,7,805763.269077654,507811.32363003,711818.339448079,984646.273138893,1698304.69602351,3118878.90665617
5,8,857395.736537055,541175.359459494,755290.535014408,1049159.76879249,1783662.48675679,2939018.26398125
5,9,875888.639407536,544561.834692534,757908.608192761,1093546.06570447,1774004.13890573,3039188.15826513
5,10,900819.070519531,544124.068420453,801055.149684083,1122939.21150736,1867122.90309688,3355082.20031109
5,11,877092.387302912,518507.755676353,754289.408793449,1117759.77342656,1901174.27687258,2998396.27142202
5,12,850426.233561636,497087.250654297,757546.304871398,1077223.51155395,1799442.2949353,3185333.14008713
5,13,856063.338985963,484266.493272429,741697.519097853,1069056.35355756,1887173.69656196,3119212.09491797
5,14,804212.061241527,439061.990209038,684893.134762204,1050991.73937357,1823567.71583697,3448927.74949141
5,15,769865.675284858,437798.026868636,672236.413866602,1011918.17736704,1681924.58250476,2835324.69757538
5,16,748697.402953701,380435.654957381,636534.396342559,1014541.69060731,1716475.42394833,2860941.18076185
5,17,682928.916585906,350946.318283851,580380.692073429,875738.305316277,1620957.46159907,2523305.6945953
5,18,676264.23880692,324853.8072161,588916.728511802,893017.718382007,1604587.89608249,3090463.27672489
5,19,627748.71810047,286132.549126047,501447.605656127,850100.649754017,1543978.76994899,3160478.51401186
5,20,590464.644747962,251435.815217699,482371.389221498,811386.572824875,1493390.18342735,2760667.35773864
5,21,552667.71792782,217221.80449733,429057.252838095,764444.269164941,1497811.54962174,2954200.1719406
5,22,508280.393292817,207732.765887547,396067.6679288,663746.996989531,1430514.05153556,2844215.27674897
5,23,495169.29452169,134086.079446797,381261.805643522,664907.761368791,1405295.20630183,3291400.95285184
5,24,444255.17567411,99425.2621925493,304657.589927344,613546.979033284,1286781.06259503,2565125.93507425
5,25,431203.116040343,76835.263425116,280977.160706556,595032.911905766,1362440.94740683,2873853.45019104
5,26,376527.936083523,57951.2821339661,252451.844562871,543111.748214598,1182935.61135578,2604040.01662573
5,27,352116.699648046,40273.6596561451,236171.319066917,489936.333327601,1298298.80725581,2580202.58718715
5,28,334871.453774878,31099.8516507023,226522.053079109,474284.808329139,1175683.47828645,2400598.68671909
